name,rarity,faceConvertedManaCost,colors,originalType,printings,uuid
Arcanis the Omnipotent,rare,,U,Legendary Creature - Wizard,"10E, C17, DDN, DMR, EMA, ONS, PRM, SLD, WC03",6f08f7f6-ecfb-584f-ae7a-c6e4d9c4da35
"Molimo, Maro-Sorcerer",rare,,G,Legendary Creature - Elemental,"10E, ARC, CMM, CMR, DPA, INV, PS11",52c9439c-c1b8-565e-bd8f-9e3203d7a051
"Emrakul, the Aeons Torn",mythic,,,Legendary Creature — Eldrazi,"2X2, MM2, P10, PLST, PPRO, PRM, PROE, PUMA, ROE, UMA",5169592e-dd93-535a-b5af-51c9aaccbf36
"Kozilek, Butcher of Truth",mythic,,,Legendary Creature — Eldrazi,"2X2, MM2, PLST, PRM, PUMA, ROE, UMA",14e24424-15a0-5b28-817f-de8c72748469
"Mikaeus, the Lunarch",rare,,W,Legendary Creature — Human Cleric,"2X2, CLB, ISD, JMP, MIC, MOC, V11",4bc2ee77-513b-54b8-9abc-a80b264ec274
"Talrand, Sky Summoner",rare,,U,Legendary Creature — Merfolk Wizard,"2X2, C15, C19, C20, C21, CMM, DDS, JMP, M13, OTC, PANA, PLST, TSR, UMA",3ee7784a-5e81-5ddd-9e18-573d6b9b1df7
"Venser, Shaper Savant",rare,,U,Legendary Creature — Human Wizard,"2X2, FUT, MM3, PLST, TSR, V13",752586b8-e40d-59df-914a-848fe4bb379c
"Yahenni, Undying Partisan",rare,,B,Legendary Creature — Aetherborn Vampire,"2X2, AER, CMM, KLR, LCC, PAER",85b3ac40-66de-5d30-bf39-6b2838d35e89
"Alesha, Who Smiles at Death",rare,,R,Legendary Creature — Human Warrior,"2X2, C16, C20, DMC, EA1, FRF, PFRF, PLST, SLD, TSR",7599dbf5-3ea2-5b62-9984-d884f89133d9
"Rishkar, Peema Renegade",rare,,G,Legendary Creature — Elf Druid,"2X2, AER, CMM, JMP, KLR, MOC, NCC, NEC, PAER, SCD",9c595888-9b05-59e6-94e6-4a4cbcba5057
"Animar, Soul of Elements",mythic,,"G, R, U",Legendary Creature — Elemental,"2X2, A25, CMD, OCMD, PLST, PZ1",9592bbd9-2a3b-59ce-abdd-2affa993270a
"Atla Palani, Nest Tender",rare,,"G, R, W",Legendary Creature — Human Shaman,"2X2, C19, DMC, SLD",16979287-4b12-5381-a27f-d7f61fede09b
"Aurelia, the Warleader",mythic,,"R, W",Legendary Creature — Angel,"2X2, GK1, GTC, MUL, V15",cdf091f2-2591-5bb5-bbc9-eccd7f3b8e3a
"Doran, the Siege Tower",rare,,"B, G, W",Legendary Creature — Treefolk Shaman,"2X2, J17, LRW, LTC, PCMP, PLST, PRM, V11",7cb55053-0e06-5bd3-a2f2-8c994da4abef
Dragonlord Dromoka,mythic,,"G, W",Legendary Creature — Elder Dragon,"2X2, DTK, PDTK, PLST, PRM",ced75dfe-2ce8-5f5e-9656-ff0460d1c527
"Elenda, the Dusk Rose",mythic,,"B, W",Legendary Creature — Vampire Knight,"2X2, LCC, PLST, PRIX, PRM, RIX, SLD",477fefc7-8c5d-5e82-a0ff-d550125274e4
"Ezuri, Claw of Progress",mythic,,"G, U",Legendary Creature — Phyrexian Elf Warrior,"2X2, C15, MUL, OC15, PJ21, PLST, PZ1",0f327954-9e82-50d6-95d5-5f6388e443e5
Firesong and Sunspeaker,rare,,"R, W",Legendary Creature — Minotaur Cleric,"2X2, DOM, MUL, PZ2",8009ba0e-a15b-503a-b204-9b880602ca4d
"Ghave, Guru of Spores",mythic,,"B, G, W",Legendary Creature — Fungus Shaman,"2X2, C16, CM2, CMD, OCMD, PLST, PZ1, SLD",95488514-0f79-5dd6-b4a3-18a0b387ba50
Grand Arbiter Augustin IV,rare,,"U, W",Legendary Creature — Human Advisor,"2X2, DIS, MMA, PJ21, PLST, PRM, SLD",d9f634fb-ddd4-5284-9959-a9dfda961e0a
"Judith, the Scourge Diva",rare,,"B, R",Legendary Creature — Human Shaman,"2X2, CMM, MUL, PRNA, RNA",f6238e61-70de-5c8f-9381-7d19f797ad76
Kaalia of the Vast,mythic,,"B, R, W",Legendary Creature — Human Cleric,"2X2, 2XM, CM1, CMA, CMD, MH3, OCMD, PRM, PZ1",ce143ef3-0096-5b2d-80a0-93ea338b279a
"Karador, Ghost Chieftain",mythic,,"B, G, W",Legendary Creature — Centaur Spirit,"2X2, CMD, CMM, CMR, J14, OCMD, PLST, PRM, SLD",f119390e-0e74-5172-91f2-1360a641b20c
Mizzix of the Izmagnus,mythic,,"R, U",Legendary Creature — Goblin Wizard,"2X2, C15, CMM, OC15, PJ21, PLST, PZ1",f0710344-ccac-5f9b-8466-81c8e784a50e
"Muldrotha, the Gravetide",mythic,,"B, G, U",Legendary Creature — Elemental Avatar,"2X2, CMR, DOM, PDOM, PLST, PRM",88a33a30-2171-5877-89dd-9a030cbd5dd9
Roon of the Hidden Realm,rare,,"G, U, W",Legendary Creature — Rhino Soldier,"2X2, C13, CMA, OC13, PLST",2f8ecb6e-ebc2-5bb3-884d-41dc84cf55b9
"Sedris, the Traitor King",mythic,,"B, R, U",Legendary Creature — Zombie Warrior,"2X2, ALA, PLST, PRM",428d724c-0a3b-52a2-827c-3f3d1199a1e2
"Skullbriar, the Walking Grave",rare,,"B, G",Legendary Creature — Zombie Elemental,"2X2, CM2, CMD, PCMD, PLST",e3fc013b-c7f7-5c56-8cee-02542be2de50
"Ulasht, the Hate Seed",rare,,"G, R",Legendary Creature — Hellion Hydra,"2X2, GK2, GPT, NEC",4c5e4a6c-ce15-5734-a4db-c40ef64e55bf
"Varina, Lich Queen",rare,,"B, U, W",Legendary Creature — Zombie Wizard,"2X2, C18, PZ2, SLD",85dc658b-3746-50fa-8518-74c8c9c104eb
"Wasitora, Nekoru Queen",rare,,"B, G, R",Legendary Creature — Cat Dragon,"2X2, C17, PLST, PZ2",90d59752-59f4-5119-99c9-75503e3e1915
Zur the Enchanter,rare,,"B, U, W",Legendary Creature — Human Wizard,"2X2, CMR, CSP, DMR, J16, MM3, OCM1, PCEL, PRM, SLD",5b2886f1-1614-52a1-a141-c5e019aa0425
"Avacyn, Angel of Hope",mythic,,W,Legendary Creature — Angel,"2XM, AVR, CMM, HA6, IMA, J17, PHEL, PRM, SIS, V15",2818f287-8403-5217-9a59-c11af2ab77e1
"Kemba, Kha Regent",rare,,W,Legendary Creature — Cat Cleric,"2XM, C14, C17, CMM, SOM",b270b745-70c2-5ad7-9189-91a4f1b19230
Arcum Dagsson,mythic,,U,Legendary Creature — Human Artificer,"2XM, CSP",3110237b-e998-5a6a-9767-f6bcc0b177ab
"Braids, Conjurer Adept",rare,,U,Legendary Creature — Human Wizard,"2XM, CMM, PLC, PLST",99eb6e1c-b52b-5103-9669-95dcc19cad34
"Geth, Lord of the Vault",mythic,,B,Legendary Creature — Zombie,"2XM, BRC, C19, SOM",b6d215d2-014f-5af7-93fd-ce6f7f768d88
"Skithiryx, the Blight Dragon",mythic,,B,Legendary Creature — Dragon Skeleton,"2XM, MUL, PLST, SOM",0ee7621b-b728-5ef0-9536-e2887896acf0
"Godo, Bandit Warlord",rare,,R,Legendary Creature — Human Barbarian,"2XM, C16, CHK, CMM, OCM1, SLD",605e26ed-436d-5390-8728-be5a79f8dd47
Tuktuk the Explorer,rare,,R,Legendary Creature — Goblin,"2XM, C14, CM2, PLST, ROE",8a787bb5-3d1e-5ed4-a07b-99801816b176
"Arixmethes, Slumbering Isle",rare,,"G, U",Legendary Creature — Kraken,"2XM, C18, MUL, PZ2",3afd5bc6-d872-5502-b230-067159472137
"Atraxa, Praetors' Voice",mythic,,"B, G, U, W",Legendary Creature — Angel Horror,"2XM, C16, CM2, MUL, OC16, PRM, PZ2, SLD",09472571-34c7-5636-963c-a8ff6aa96f28
Geist of Saint Traft,mythic,,"U, W",Legendary Creature — Spirit Cleric,"2XM, DDQ, ISD, PRM, SIS, VOC, WMC",c788ba7a-7a54-5ff3-83d8-fa084b69e632
"Hanna, Ship's Navigator",rare,,"U, W",Legendary Creature — Human Artificer,"2XM, A25, C16, CMM, INV, J14, NEC, PANA, PRM",839a69a1-7a89-5043-aaa6-d47ecb7118cf
"Jhoira, Weatherlight Captain",rare,,"R, U",Legendary Creature — Human Artificer,"2XM, BRC, DOM, PDOM, SLD",d57c1a70-972f-51ef-ab7f-5133763c4490
"Karrthus, Tyrant of Jund",mythic,,"B, G, R",Legendary Creature — Dragon,"2XM, ARB, OCM1, PLST, SLD",10ca5b9b-5c29-5e9e-a0ad-5292540574c8
"Mazirek, Kraul Death Priest",rare,,"B, G",Legendary Creature — Insect Shaman,"2XM, C15, CMA, PZ1, SLD",eaaf9cc5-6175-59da-b661-8f77e79a5fbc
Rhys the Redeemed,rare,,"G, W",Legendary Creature — Elf Warrior,"2XM, PANA, PLST, SHM",5997ef7e-9611-529d-8a06-0e76783cccde
Riku of Two Reflections,mythic,,"G, R, U",Legendary Creature — Human Wizard,"2XM, CMD, J14, OCMD, PRM",a8d8e790-8c57-5104-9915-6f69a00d335b
The Scarab God,mythic,,"B, U",Legendary Creature — God,"2XM, AKR, CMM, HOU, MP2, PHOU, SLD",eed81bd3-096f-5757-9516-0c86485953d4
"Vish Kal, Blood Arbiter",rare,,"B, W",Legendary Creature — Vampire,"2XM, CMD, PCMD",a637874c-282a-5d6f-8ba0-1160880a7949
"Akroma, Angel of Wrath",mythic,,W,Legendary Creature — Angel,"A25, C20, DDC, DVD, LGN, SLD, TSB, V15",83d4a1e2-c245-5f32-9183-bd9900f62aac
"Darien, King of Kjeldor",rare,,W,Legendary Creature — Human Soldier,"A25, CSP, MKC, PLST",4663ad3c-9657-5265-967f-196d4180652c
"Thalia, Guardian of Thraben",rare,,W,Legendary Creature — Human Soldier,"A25, DBL, DKA, HA2, MUL, PRM, PVOW, SLD, VOW, WMC",bb57ece7-d091-5050-8ac4-a7a7dcfc87b1
Ihsan's Shade,uncommon,,B,Legendary Creature — Shade Knight,"A25, ATH, HML, ME2, PHJ, PLST, PTC",ca565281-e390-5763-9cd7-3a28816fe0d5
"Akroma, Angel of Fury",mythic,,R,Legendary Creature — Angel,"A25, CMA, CMD, MKC, PLC, SLD, TSR, V15",f4e81d97-3c32-5a72-92a2-72283a999298
"Zada, Hedron Grinder",uncommon,,R,Legendary Creature — Goblin Ally,"A25, BFZ, CMM, MUL, PBFZ",30d4d791-2d56-537e-86c8-e3d24f8d406b
"Gisela, Blade of Goldnight",mythic,,"R, W",Legendary Creature — Angel,"A25, AVR, C15, CM2, CMM, MKC, PHEL, PLST, SLD",2ca198e7-8ea4-50ee-81c3-bdf170514d14
"Grenzo, Dungeon Warden",rare,,"B, R",Legendary Creature — Goblin Rogue,"A25, CNS, PLST, SLD, TSR, VMA",0d1ebaf1-3f77-5d10-876b-a3ba4b133f34
Nicol Bolas,rare,,"B, R, U",Legendary Creature — Elder Dragon,"A25, BCHR, CHR, DRB, LEG, ME3, PLST, PMDA, SLD, TSB",2503411e-e8c0-509a-8284-98c62025dd3d
"Niv-Mizzet, the Firemind",rare,,"R, U",Legendary Creature — Dragon Wizard,"A25, C17, C20, DDJ, DRB, GK1, GPT, MM2, P30A, PCMP, PRM, RVR",a52083a9-ae15-5c54-8fbd-7d63534fb5b2
"Prossh, Skyraider of Kher",mythic,,"B, G, R",Legendary Creature — Dragon,"A25, C13, CMR, OC13, PLST, PRM",cee2f9b2-9147-52ab-bb64-86320112d376
"Sram, Senior Edificer",rare,,W,Legendary Creature — Dwarf Advisor,"AER, AFC, CMR, KLR, MUL, NEC, PAER, SLD, TSR",b70763ed-0964-50e2-ac75-8063f4895e4c
"Baral, Chief of Compliance",rare,,U,Legendary Creature — Human Wizard,"AER, KLR, MUL, PAER, PLST, SLD, TSR",0730e14e-7a5d-57de-a9fb-f6b761376a9d
"Kari Zev, Skyship Raider",rare,,R,Legendary Creature — Human Pirate,"AER, DMC, J22, KLR, LCC, PAER, PLST",e3f86614-17b1-51b3-87ec-b223f9eca7aa
"Galea, Kindler of Hope",mythic,,"G, U, W",Legendary Creature — Elf Knight,"AFC, OAFC, PRM",0ccd891f-10e7-5f42-abe3-3f27436986b2
"Prosper, Tome-Bound",mythic,,"B, R",Legendary Creature — Tiefling Warlock,"AFC, HBG, OAFC, PRM",f623bef0-0728-5ade-84a0-c8ccee389a19
Sefris of the Hidden Ways,mythic,,"B, U, W",Legendary Creature — Human Wizard,"AFC, OAFC",b422cc1e-3720-53d7-8d33-1e0e37900034
"Vrondiss, Rage of Ancients",mythic,,"G, R",Legendary Creature — Dragon Barbarian,"AFC, OAFC",17d69278-3d68-5f93-8d48-27e8181dbe59
"Minn, Wily Illusionist",rare,,U,Legendary Creature — Gnome Wizard,AFC,3f7208de-bf7b-533d-84a8-9fa043648573
"Lorcan, Warlock Collector",rare,,B,Legendary Creature — Devil,AFC,9dc7d167-b7d8-5264-9064-f923c06f2d0d
Catti-brie of Mithral Hall,rare,,"G, W",Legendary Creature — Human Archer,"AFC, HBG",f591c1c2-4a9e-5c47-a6dc-5406bb044550
"Karazikar, the Eye Tyrant",mythic,,"B, R",Legendary Creature — Beholder,AFC,24bb09bc-e1b6-5769-a3c8-e04f646dd3e3
"Klauth, Unrivaled Ancient",mythic,,"G, R",Legendary Creature — Dragon,AFC,a55737f1-ab30-5bd1-8541-47f89d8563d9
Nihiloor,mythic,,"B, U, W",Legendary Creature — Horror,AFC,525abf1c-03f8-5c13-bfff-792afbcd09b7
"Storvald, Frost Giant Jarl",mythic,,"G, U, W",Legendary Creature — Giant,AFC,b22cc167-619b-56f0-ab13-3eef01be2fbc
Wulfgar of Icewind Dale,rare,,"G, R",Legendary Creature — Human Barbarian,"AFC, PRM",ff547ce6-4562-5625-8104-83b45ec8de55
"Gonti, Lord of Luxury",rare,,B,Legendary Creature — Aetherborn Rogue,"AFC, CLB, CMM, JMP, KLD, KLR, OTC, PKLD, PLST, SLD, ZNC",cf56c927-99e6-54d4-96b0-6408fa3c53ea
"Etali, Primal Storm",rare,,R,Legendary Creature — Elder Dinosaur,"AFC, C20, C21, CLB, DMC, JMP, LCC, MKC, NCC, PLST, PRES, PRIX, RIX, SLD, TSR",4e15698f-62f8-5b6d-90f3-25d85b4c9553
"Atarka, World Render",rare,,"G, R",Legendary Creature — Dragon,"AFC, C17, FRF, PFRF, PRES, SCD",86d3b5a6-074c-50cd-be07-48b3318aace6
Oketra the True,mythic,,W,Legendary Creature - God,"AKH, AKR, MP2, PAKH",aae892ba-cd35-549d-bc99-9e21ec77d422
Kefnet the Mindful,mythic,,U,Legendary Creature - God,"AKH, AKR, MP2, PAKH",c937b801-ba50-5506-bd7c-73a16aba7644
Bontu the Glorified,mythic,,B,Legendary Creature - God,"AKH, AKR, MP2, PAKH",952ca62d-4d6f-5270-ad1a-b35cf48abd6f
Hazoret the Fervent,mythic,,R,Legendary Creature - God,"AKH, AKR, MP2, PAKH",30e45bd0-8fa1-51bc-a968-443e225e0a1e
Rhonas the Indomitable,mythic,,G,Legendary Creature - God,"AKH, AKR, J22, MP2, PAKH",58ab9067-e604-5cf8-b4f1-8f2282398399
"Hapatra, Vizier of Poisons",rare,,"B, G",Legendary Creature - Human Cleric,"AKH, AKR, PAKH",9e98ed00-0adc-57b5-a0da-2d0b0967b949
"Neheb, the Worthy",rare,,"B, R",Legendary Creature - Minotaur Warrior,"AKH, AKR, PAKH",9ed535d4-d77f-5553-94bf-8c7e1073ce32
"Samut, Voice of Dissent",mythic,,"G, R",Legendary Creature - Human Warrior,"AKH, AKR, PAKH, SLD",afad7b5a-566b-53dc-a3ba-7b5d143c6a7d
"Temmet, Vizier of Naktamun",rare,,"U, W",Legendary Creature - Human Cleric,"AKH, AKR, PAKH",923ad903-d63c-5555-b874-9c6848bd73f8
"Unesh, Criosphinx Sovereign",mythic,,U,Legendary Creature — Sphinx,"AKR, HOU, PHOU",6c601206-4cd5-5794-bc0b-2c9c592b8cee
"Razaketh, the Foulblooded",mythic,,B,Legendary Creature — Demon,"AKR, CMM, HOU, PHOU, SLD",a7b919a9-2d6a-5f3d-8c32-cbe6626a8ae9
"Neheb, the Eternal",mythic,,R,Legendary Creature — Zombie Minotaur Warrior,"AKR, CMM, HOU, MKC, PHOU",af1c9be1-6db3-56b0-b2f6-e0da9f7f01c3
The Locust God,mythic,,"R, U",Legendary Creature — God,"AKR, C20, HOU, MOC, MP2, PHOU, PLST, SLD",8f3866f6-b196-5989-938c-6dc5d618bfcf
The Scorpion God,mythic,,"B, R",Legendary Creature — God,"AKR, HOU, MP2, PHOU, SLD",cea7739e-c57c-5a12-92ab-f9f4e6c565ad
Kresh the Bloodbraided,mythic,,"B, G, R",Legendary Creature - Human Warrior,"ALA, NCC, V11",59f46ccf-da29-5e0d-9b6d-a32132e1bf4a
"Jenara, Asura of War",mythic,,"G, U, W",Legendary Creature — Angel,"ARB, NCC, V15",2b09d1ec-4ba1-5765-81de-17d134724c01
"Ryusei, the Falling Star",rare,,R,Legendary Creature — Dragon Spirit,"ARC, C17, CHK, CLB, IMA, MMA, PCHK, PLST, PRM",108efee1-cbf9-5bc1-a9d5-4799d080eb4b
"Kamahl, Fist of Krosa",rare,,G,Legendary Creature — Human Druid,"ARC, DMR, ONS",5b79befc-6798-5105-ad72-e3457c51be75
Griselbrand,mythic,,B,Legendary Creature — Demon,"AVR, MM3, PGPX, PHEL, PRM, SIS, SLD",4917126a-6d6a-5084-af17-59784e760b06
"Bruna, Light of Alabaster",mythic,,"U, W",Legendary Creature — Angel,"AVR, C18, PHEL, SLD",325f9795-56e3-559c-acab-6162a3e23096
"Sigarda, Host of Herons",mythic,,"G, W",Legendary Creature — Angel,"AVR, PHEL, PUMA, SIS, UMA",9ee79691-5b8c-516a-84f1-3c20818d5605
Virtus the Veiled,rare,,B,Legendary Creature — Azra Assassin,"BBD, PBBD, PLST",d04dc80f-511f-5784-9f36-a1391ceeaa47
Gorm the Great,rare,,G,Legendary Creature — Giant Warrior,"BBD, PBBD, PLST",53f1333b-c3f5-55e4-99c4-7b4efedb5fd4
"Najeela, the Blade-Blossom",mythic,,R,Legendary Creature — Human Warrior,"BBD, CMR, PRM, SLD",ec19ecad-a4a6-534d-93b4-2dddea3d2e8a
"Gwafa Hazid, Profiteer",rare,,"U, W",Legendary Creature — Human Rogue,"BBD, C16, CON",08cf7703-29fd-5010-80cc-df9609d0a7dd
"Drana, Liberator of Malakir",mythic,,B,Legendary Creature — Vampire Ally,"BFZ, DMC, JMP, LCC, NCC, PBFZ",66555fc7-38c6-5c1d-863a-7642fe6e5e6d
"Omnath, Locus of Rage",mythic,,"G, R",Legendary Creature — Elemental,"BFZ, EA3, OTC, PBFZ, PLST, SLD, ZNC",f2c042ad-bf9d-593a-bfaf-0270f8b13a6e
"Loot, the Key to Everything",mythic,,"G, R, U",Legendary Creature — Beast Noble,BIG,e65aaef6-bb56-5a20-9bee-d6a08b6392c7
"Brimaz, King of Oreskos",mythic,,W,Legendary Creature — Cat Soldier,"BNG, PLST, SLD",e14067e8-9800-5a96-9838-1e7635c86bfd
Tromokratis,rare,,U,Legendary Creature — Kraken,"BNG, CMM, CMR, PBNG, PRM",38757d7d-b090-5835-b640-411f21d9fccf
"Hokori, Dust Drinker",rare,,W,Legendary Creature - Spirit,"BOK, PLST, SLD",65e745cd-f2e9-528a-8563-01748c8d669f
"Oyobi, Who Split the Heavens",rare,,W,Legendary Creature - Spirit,"BOK, PSAL, VOC",7963d18a-6f55-5173-b56b-1c24e4674598
Patron of the Moon,rare,,U,Legendary Creature - Spirit,"BOK, PLST",07d85d05-3b69-5ec6-a3a3-579f39634bb6
"Ink-Eyes, Servant of Oni",rare,,B,Legendary Creature - Rat Ninja,"BOK, PBOK, PC2, PCA, PLST, PRM, SLD, V13",ab8486a9-7eaa-5c49-a8cc-8aa32eeb13dc
Fumiko the Lowblood,rare,,R,Legendary Creature - Human Samurai,"BOK, C15, C20, CM2",27865a76-588b-5b9b-a2c7-97fb59d36ee6
Heartless Hidetsugu,rare,,R,Legendary Creature - Ogre Shaman,"BOK, CMM, CNS, PLST, SLD",ddc1705d-2f11-5413-bc7a-89237fe362a0
